Date,Day,Count
2018-11-30,Fri,4
2018-12-01,Sat,4
2018-12-02,Sun,4
2018-12-03,Mon,4
2018-12-04,Tue,4
2018-12-05,Wed,4
2018-12-06,Thu,4
2018-12-07,Fri,4
2018-12-08,Sat,8
2018-12-09,Sun,8
2018-12-10,Mon,4
2018-12-11,Tue,4
2018-12-12,Wed,4
2018-12-13,Thu,4
2018-12-14,Fri,12
2018-12-15,Sat,17
2018-12-16,Sun,17
2018-12-17,Mon,6
2018-12-18,Tue,6
2018-12-19,Wed,6
2018-12-20,Thu,6
2018-12-21,Fri,17
2018-12-22,Sat,17
2018-12-23,Sun,17
2018-12-24,Mon,17
2018-12-25,Tue,17
2018-12-26,Wed,17
2018-12-27,Thu,17
2018-12-28,Fri,17
2018-12-29,Sat,17
2018-12-30,Sun,17
2018-12-31,Mon,17
2019-01-01,Tue,17
2019-01-02,Wed,6
2019-01-03,Thu,6
2019-01-04,Fri,12
2019-01-05,Sat,17
2019-01-06,Sun,17
2019-01-07,Mon,6
2019-01-08,Tue,6
2019-01-09,Wed,6
2019-01-10,Thu,6
2019-01-11,Fri,12
2019-01-12,Sat,17
2019-01-13,Sun,17
2019-01-14,Mon,6
2019-01-15,Tue,6
2019-01-16,Wed,6
2019-01-17,Thu,6
2019-01-18,Fri,12
2019-01-19,Sat,17
2019-01-20,Sun,17
2019-01-21,Mon,17
2019-01-22,Tue,6
2019-01-23,Wed,6
2019-01-24,Thu,6
2019-01-25,Fri,12
2019-01-26,Sat,17
2019-01-27,Sun,17
2019-01-28,Mon,6
2019-01-29,Tue,6
2019-01-30,Wed,6
2019-01-31,Thu,6
2019-02-01,Fri,12
2019-02-02,Sat,17
2019-02-03,Sun,17
2019-02-04,Mon,6
2019-02-05,Tue,6
2019-02-06,Wed,6
2019-02-07,Thu,6
2019-02-08,Fri,12
2019-02-09,Sat,17
2019-02-10,Sun,17
2019-02-11,Mon,6
2019-02-12,Tue,6
2019-02-13,Wed,6
2019-02-14,Thu,6
2019-02-15,Fri,12
2019-02-16,Sat,17
2019-02-17,Sun,17
2019-02-18,Mon,17
2019-02-19,Tue,6
2019-02-20,Wed,6
2019-02-21,Thu,6
2019-02-22,Fri,12
2019-02-23,Sat,17
2019-02-24,Sun,17
2019-02-25,Mon,6
2019-02-26,Tue,6
2019-02-27,Wed,6
2019-02-28,Thu,6
2019-03-01,Fri,12
2019-03-02,Sat,17
2019-03-03,Sun,17
2019-03-04,Mon,6
2019-03-05,Tue,6
2019-03-06,Wed,6
2019-03-07,Thu,6
2019-03-08,Fri,12
2019-03-09,Sat,17
2019-03-10,Sun,17
2019-03-11,Mon,6
2019-03-12,Tue,6
2019-03-13,Wed,6
2019-03-14,Thu,6
2019-03-15,Fri,12
2019-03-16,Sat,17
2019-03-17,Sun,17
2019-03-18,Mon,6
2019-03-19,Tue,6
2019-03-20,Wed,6
2019-03-21,Thu,6
2019-03-22,Fri,12
2019-03-23,Sat,17
2019-03-24,Sun,17
2019-03-25,Mon,6
2019-03-26,Tue,6
2019-03-27,Wed,6
2019-03-28,Thu,6
2019-03-29,Fri,12
2019-03-30,Sat,17
2019-03-31,Sun,17
2019-04-01,Mon,6
2019-04-02,Tue,6
2019-04-03,Wed,6
2019-04-04,Thu,6
2019-04-05,Fri,11
2019-04-06,Sat,16
2019-04-07,Sun,16
2019-04-08,Mon,6
2019-04-09,Tue,6
2019-04-10,Wed,6
2019-04-11,Thu,6
2019-04-12,Fri,11
2019-04-13,Sat,16
2019-04-14,Sun,16
2019-04-15,Mon,6
2019-04-16,Tue,6
2019-04-17,Wed,6
2019-04-18,Thu,6
2019-04-19,Fri,11
2019-04-20,Sat,16
2019-04-21,Sun,16
2019-04-22,Mon,4
2019-04-23,Tue,4
2019-04-24,Wed,4
2019-04-25,Thu,4
2019-04-26,Fri,4
2019-04-27,Sat,4
2019-04-28,Sun,4
2019-04-29,Mon,4
2019-04-30,Tue,4
2019-05-01,Wed,4
2019-05-02,Thu,4
2019-05-03,Fri,4
2019-05-04,Sat,4
2019-05-05,Sun,4
2019-05-10,Fri,3
2019-05-11,Sat,3
2019-05-12,Sun,3
2019-05-17,Fri,3
2019-05-18,Sat,3
2019-05-19,Sun,3
2019-05-24,Fri,3
2019-05-25,Sat,3
2019-05-26,Sun,3
2019-05-27,Mon,3
Number of Days,167
Shift Count From Totals,1545
Shifts Count From DB,1545
